id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
1669776694,fb27d680-f140-35a4-91f3-9c54e24d1c80,-9.632610,-37.595871,2024-01-28 17:02:00,Brasil,ALAGOAS,PÃO DE AÇÚCAR,Caatinga
1666102067,1525f9bd-209e-37fb-ac97-d6f9b8ccc42d,-9.492370,-35.998890,2024-01-01 16:24:00,Brasil,ALAGOAS,ATALAIA,Mata Atlântica
1666102070,605e2dd2-07c4-3b8d-89c8-ffe50f92c412,-8.987730,-35.301472,2024-01-01 16:24:00,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica
1666662501,88e9cb09-081a-375c-b024-4f417f59a462,-9.576970,-36.506451,2024-01-06 16:34:00,Brasil,ALAGOAS,BELÉM,Mata Atlântica
1666662502,63ba7b84-9962-3698-8189-816a716c4e29,-9.575610,-36.497261,2024-01-06 16:34:00,Brasil,ALAGOAS,BELÉM,Mata Atlântica
1666662503,4e62ec00-848d-3ce8-89f6-ca0c1fc9a686,-9.567960,-36.507839,2024-01-06 16:34:00,Brasil,ALAGOAS,BELÉM,Mata Atlântica
1666662504,e4b7f1b8-52e1-34ec-8fb6-c7a0d13831b3,-9.566600,-36.498692,2024-01-06 16:34:00,Brasil,ALAGOAS,BELÉM,Mata Atlântica
1666662505,105a102e-b046-326c-ad53-731851512cba,-9.510150,-36.494869,2024-01-06 16:34:00,Brasil,ALAGOAS,BELÉM,Mata Atlântica
1666662507,a778264a-c489-30be-aa18-ba8d31759855,-9.243030,-35.694019,2024-01-06 16:34:00,Brasil,ALAGOAS,SÃO LUÍS DO QUITUNDE,Mata Atlântica
1666662508,ac1570a5-0357-3e79-bb14-707353e33857,-9.072480,-35.722801,2024-01-06 16:34:00,Brasil,ALAGOAS,JOAQUIM GOMES,Mata Atlântica
1666662644,c61a9d9d-f7a5-3421-90ba-5ae6ae33a524,-10.098820,-36.170158,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662645,bad77f0a-c241-3ffa-95ce-fbf25234bf77,-10.097430,-36.160789,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662646,bffbb991-9597-3c28-a203-7a4e4a85db0c,-10.096040,-36.151402,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662647,6619b6ce-2dcb-3dbe-b417-ffe57a49489b,-10.094650,-36.142010,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662648,21e1bf40-a73f-3127-9bcd-2cec75748849,-10.088360,-36.162201,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662649,6f8c1cb4-de15-31a2-b5f1-574c07e089f5,-10.086960,-36.152821,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662650,45ce1f71-1fa1-3138-996b-de37dd572148,-10.085570,-36.143421,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662651,c33a1b77-c4c9-38cc-b563-2ad090dd428e,-10.082780,-36.124611,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662652,b943eb18-ac72-3a09-9260-ed4c708cb9e4,-10.079270,-36.163609,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1666662653,7b740fb1-a872-31aa-9e5d-8d2af095dcd9,-10.077880,-36.154221,2024-01-06 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1669086332,c3d9165a-e240-31cc-935e-77da2481ecd6,-9.864630,-36.941360,2024-01-23 16:49:00,Brasil,ALAGOAS,GIRAU DO PONCIANO,Caatinga
1670018025,a5b268ec-3499-3a91-bd9e-e8bbae2bba22,-9.029370,-35.579929,2024-01-29 16:05:00,Brasil,ALAGOAS,NOVO LINO,Mata Atlântica
1670018026,c8c88242-206f-3940-9f8c-de7ad120fb21,-9.027890,-35.587139,2024-01-29 16:05:00,Brasil,ALAGOAS,NOVO LINO,Mata Atlântica
1670018033,06b6d3a1-873b-34a0-a987-407b09a76f62,-10.227540,-36.408360,2024-01-29 16:05:00,Brasil,ALAGOAS,PENEDO,Mata Atlântica
1670018035,c14ce024-b4be-3406-8663-25e34706cb29,-10.162110,-36.285370,2024-01-29 16:05:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1670018036,917c73fc-f944-360a-9804-99357e4bfcee,-10.159280,-36.263081,2024-01-29 16:05:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1670018037,65ac7640-8e85-392a-a957-c87090ea08f0,-10.145750,-36.264801,2024-01-29 16:05:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1670855561,6ee34796-b9e8-3479-8cb1-59b4e1ddfb59,-9.687330,-36.659191,2024-01-30 16:45:00,Brasil,ALAGOAS,ARAPIRACA,Caatinga
1670855562,a476b7f5-beca-3182-b77a-620521695e5d,-9.383110,-35.948399,2024-01-30 16:45:00,Brasil,ALAGOAS,ATALAIA,Mata Atlântica
1671953132,6522580f-0d94-3f43-8020-ec3021305b09,-9.281740,-36.519421,2024-02-01 16:30:00,Brasil,ALAGOAS,QUEBRANGULO,Caatinga
1671953133,ae9a7767-f0d6-3647-9ec3-b42ed6e6ce5b,-8.924940,-35.965649,2024-02-01 16:30:00,Brasil,ALAGOAS,IBATEGUARA,Mata Atlântica
1672900101,226437b7-c3d1-3f1b-a1e7-aeef4d857a51,-9.274540,-37.159679,2024-02-06 16:39:00,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga
1672900104,7395ef76-e791-3c1a-8ae9-3e9b50873e5c,-9.138160,-37.548370,2024-02-06 16:39:00,Brasil,ALAGOAS,CANAPI,Caatinga
1672900206,10e5da4e-5b83-3090-b40f-e982c0959449,-10.242850,-36.295280,2024-02-06 16:39:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1674081157,00b97dec-7a7e-32de-a0b2-cb080d568ce5,-9.977850,-36.176430,2024-02-13 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1674081158,e92f1b8d-53ba-3ab7-ba4b-66fb6f38d756,-9.976530,-36.167419,2024-02-13 16:34:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1674081159,ca3531e8-8d0a-3173-8dbe-4963ca63714f,-9.552760,-35.854469,2024-02-13 16:34:00,Brasil,ALAGOAS,RIO LARGO,Mata Atlântica
1674081160,c383c0e2-2fe3-3b67-bceb-1efa189d3ea0,-9.071480,-35.652340,2024-02-13 16:34:00,Brasil,ALAGOAS,MATRIZ DE CAMARAGIBE,Mata Atlântica
1674397131,9c4d5331-f0b2-38bf-8736-afe2c9489ca8,-9.002540,-35.975449,2024-02-15 16:20:00,Brasil,ALAGOAS,SÃO JOSÉ DA LAJE,Mata Atlântica
1674397141,ace764d3-e65b-3bf3-ae27-51f1bd5bc368,-10.161290,-36.246460,2024-02-15 16:20:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1674555758,035b1dcd-a6db-39c1-9dad-7f1ffd32fd7d,-9.448650,-37.019581,2024-02-16 16:58:00,Brasil,ALAGOAS,MAJOR ISIDORO,Caatinga
1675178493,400c2e33-3feb-39d2-b1e3-aeda8f4a2ea6,-9.401730,-35.557209,2024-02-20 16:28:00,Brasil,ALAGOAS,BARRA DE SANTO ANTÔNIO,Mata Atlântica
1675178494,604e6e96-fc52-3211-bfa1-44363a43f386,-9.369750,-35.525070,2024-02-20 16:28:00,Brasil,ALAGOAS,BARRA DE SANTO ANTÔNIO,Mata Atlântica
1675178495,6b13cf31-c2ab-385e-8172-583c7065642b,-9.213660,-35.404049,2024-02-20 16:28:00,Brasil,ALAGOAS,SÃO MIGUEL DOS MILAGRES,Mata Atlântica
1675178496,4b07ede7-b781-3015-a8ea-2c75dd83d732,-8.907260,-35.192810,2024-02-20 16:28:00,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica
1675768644,b3e566f5-3860-381d-8b1c-c077218e1dd4,-9.860040,-36.917351,2024-02-23 16:54:00,Brasil,ALAGOAS,GIRAU DO PONCIANO,Caatinga
1676098955,ab3949a2-58de-390a-9ce4-83813e8d6aa0,-9.328220,-35.607632,2024-02-25 16:37:00,Brasil,ALAGOAS,SÃO LUÍS DO QUITUNDE,Mata Atlântica
1676343695,227c7d76-d6ee-39c0-ba11-ac954887688b,-9.717300,-35.931511,2024-02-27 16:22:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1676761209,c817d5e3-8b4d-3c1c-b9e3-2f2fa1265a17,-9.762540,-36.977921,2024-03-01 16:47:00,Brasil,ALAGOAS,TRAIPU,Caatinga
1676761211,16f4474b-cd0c-32a0-9a04-663a98d7a09e,-9.355740,-36.923679,2024-03-01 16:47:00,Brasil,ALAGOAS,MINADOR DO NEGRÃO,Caatinga
1676953449,a3bf6144-555c-3267-b712-a178bed200cc,-9.413520,-35.738258,2024-03-03 16:32:00,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica
1676953450,f5d87c7c-98a8-3f11-a869-fd74ac51bb9f,-9.412220,-35.729290,2024-03-03 16:32:00,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica
1676953451,d1824402-aece-3032-b8f0-61906d0cbaee,-9.032480,-35.965912,2024-03-03 16:32:00,Brasil,ALAGOAS,SÃO JOSÉ DA LAJE,Mata Atlântica
1676953452,d9ae0b4f-3293-3976-a3ef-1291b20dd802,-8.980980,-36.062519,2024-03-03 16:32:00,Brasil,ALAGOAS,SÃO JOSÉ DA LAJE,Mata Atlântica
1677560194,240db959-c08a-3c76-9a11-7b4999b190d3,-9.930490,-36.051521,2024-03-08 16:39:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1677880718,046f4b6f-d348-3599-b6e4-c18b4565c9a4,-9.727540,-35.942928,2024-03-10 16:24:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1677880719,f2818d03-33ce-334e-8e93-a565e08aedfe,-9.726160,-35.932869,2024-03-10 16:24:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1677880720,95e7759d-259c-3a8f-aea8-ddcd1d7abd8b,-9.721640,-35.938931,2024-03-10 16:24:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1677880721,b35584ad-fdeb-3ab2-9938-3f5afbc0e4e9,-9.720210,-35.928879,2024-03-10 16:24:00,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlântica
1677880722,6b7ba8d6-581a-3940-8501-3e7d57a75bf1,-9.438980,-36.827339,2024-03-10 16:24:00,Brasil,ALAGOAS,ESTRELA DE ALAGOAS,Caatinga
1678201381,76772b97-fd8e-39f2-89c0-efa4fa4f1202,-9.918210,-36.197979,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201382,fef230b4-bb17-3cb0-bb65-4b6b70b7bf09,-9.916450,-37.078701,2024-03-12 16:09:00,Brasil,ALAGOAS,TRAIPU,Mata Atlântica
1678201383,d1a13bd0-d745-3caf-a9ca-f69109e6f952,-9.915720,-36.178341,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201384,d090d227-79fa-3d95-90d7-d41606978436,-9.906480,-36.204700,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201385,c2bdaa57-0cce-3e74-93eb-56ff4c8332be,-9.905400,-36.199669,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201386,d8e7bbf7-2480-3c04-a8cb-762f2ab13d12,-9.903860,-36.185070,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201387,b4864a54-dc39-385e-9bc2-2725885a6ef4,-9.902920,-36.180000,2024-03-12 16:09:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1678201388,ba14a95c-483f-3d5b-98de-41601764eb72,-9.752220,-37.110741,2024-03-12 16:09:00,Brasil,ALAGOAS,BATALHA,Caatinga
1678201389,ff1230d4-be56-3863-9cd4-f0772334b5e3,-9.749150,-37.087521,2024-03-12 16:09:00,Brasil,ALAGOAS,BATALHA,Caatinga
1678201390,e8480ed9-77aa-399e-a402-e56d8b766faa,-9.745330,-37.104771,2024-03-12 16:09:00,Brasil,ALAGOAS,BATALHA,Caatinga
1678764991,ab5de782-c721-3960-9be2-a05eb3739365,-9.493240,-36.338169,2024-03-15 16:35:00,Brasil,ALAGOAS,PINDOBA,Mata Atlântica
1678764992,d2883c9c-c0be-37de-9312-337b26162df1,-9.484350,-36.339489,2024-03-15 16:35:00,Brasil,ALAGOAS,PINDOBA,Mata Atlântica
1679100329,6342b14a-800f-3edf-95fa-668c8a4383c9,-10.136380,-36.304878,2024-03-17 16:20:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica
1679100330,9b8e5cb8-0a7f-302a-bf14-187abb64479a,-10.070140,-36.334461,2024-03-17 16:20:00,Brasil,ALAGOAS,CORURIPE,Caatinga
1679502991,6112e8af-9a4c-3bcc-b9ef-b16810f397f0,-9.364930,-37.182598,2024-03-20 16:43:00,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga
1679502992,02b16a39-0387-362e-bc02-ef72ffae0afa,-9.364450,-36.807251,2024-03-20 16:43:00,Brasil,ALAGOAS,MINADOR DO NEGRÃO,Caatinga
1679502993,5d4a6ef7-c8b8-36b6-929a-2c3db0ce1c87,-9.363540,-37.173210,2024-03-20 16:43:00,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga
1679502994,e3bf5c29-99bf-37ef-8b7c-d460dfb7e895,-9.323800,-37.217758,2024-03-20 16:43:00,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga
1679502995,2a83f1ab-88b2-3f8b-a585-7543cac3d94a,-9.252080,-35.741989,2024-03-20 16:43:00,Brasil,ALAGOAS,FLEXEIRAS,Mata Atlântica
